
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
18,18,2015-11-30,25-270,POR,@,LAC,L (-15),1,24:13,3,6,.500,0,0,,4,6,.667,3,10,13,1,2,0,5,4,10,7.4,-14,30.8
19,19,2015-12-01,25-271,POR,,DAL,L (-3),1,20:53,1,4,.250,0,0,,1,2,.500,1,4,5,1,2,0,0,1,3,4.4,-7,14.8
20,20,2015-12-03,25-273,POR,,IND,W (+12),1,26:08,5,6,.833,0,0,,2,5,.400,2,8,10,2,0,1,0,3,12,13.3,+9,31.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,21,2015-12-05,25-275,POR,@,MIN,W (+6),1,23:51,2,6,.333,0,0,,2,2,1.000,4,5,9,2,0,0,2,2,6,5.5,+1,19.3
22,22,2015-12-07,25-277,POR,@,MIL,L (-2),1,20:01,1,4,.250,0,0,,1,2,.500,0,4,4,1,0,3,2,3,3,1.0,-9,14.5
23,23,2015-12-08,25-278,POR,@,CLE,L (-5),1,22:13,2,6,.333,0,0,,6,10,.600,2,2,4,4,0,1,2,6,10,6.1,+5,22.0
24,24,2015-12-11,25-281,POR,@,PHO,W (+10),1,26:39,4,5,.800,0,0,,0,0,,1,3,4,4,0,0,2,2,8,7.7,+5,18.0
25,25,2015-12-12,25-282,POR,,NYK,L (-2),1,27:33,4,6,.667,0,0,,1,4,.250,0,2,2,3,1,0,2,6,9,4.5,+8,17.0
26,26,2015-12-14,25-284,POR,,NOP,W (+4),1,30:01,5,10,.500,0,0,,5,6,.833,5,8,13,6,0,2,4,4,15,15.5,+2,43.8
