
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,20-232,MIN,@,LAL,W (+1),0,19:56,4,10,.400,0,2,.000,0,0,,1,2,3,3,1,0,0,0,8,7.0,-4,18.3
2,2,2015-10-30,20-234,MIN,@,DEN,W (+17),0,17:36,3,6,.500,0,1,.000,4,4,1.000,0,4,4,3,0,0,4,3,10,5.1,-4,17.5
3,3,2015-11-02,20-237,MIN,,POR,L (-5),0,16:01,3,7,.429,0,1,.000,4,4,1.000,0,0,0,5,0,0,2,1,10,7.4,-8,16.5
4,4,2015-11-05,20-240,MIN,,MIA,L (-12),0,20:11,1,5,.200,1,1,1.000,0,0,,0,2,2,3,0,0,3,3,3,-1.6,-4,9.0
5,5,2015-11-07,20-242,MIN,@,CHI,W (+9),0,19:18,3,9,.333,1,3,.333,1,1,1.000,1,3,4,4,0,0,3,3,8,3.1,+7,18.0
6,6,2015-11-09,20-244,MIN,@,ATL,W (+10),0,15:53,5,7,.714,1,1,1.000,2,2,1.000,1,2,3,6,3,0,1,2,13,16.8,+9,31.8
7,7,2015-11-10,20-245,MIN,,CHO,L (-9),1,36:34,9,19,.474,1,4,.250,1,2,.500,1,4,5,8,2,0,8,2,20,10.6,+13,38.8
8,8,2015-11-12,20-247,MIN,,GSW,L (-13),1,25:32,3,11,.273,0,2,.000,7,8,.875,1,1,2,1,1,0,2,2,13,6.0,-22,18.0
9,9,2015-11-13,20-248,MIN,@,IND,L (-4),1,40:05,11,22,.500,4,7,.571,0,0,,1,5,6,4,1,0,2,1,26,18.6,0,42.5
10,10,2015-11-15,20-250,MIN,,MEM,L (-8),1,17:29,8,15,.533,4,7,.571,5,6,.833,1,2,3,3,0,0,1,5,25,17.7,+2,34.8
11,11,2015-11-17,20-252,MIN,@,MIA,W (+12),0,28:29,5,12,.417,2,5,.400,5,6,.833,0,4,4,3,1,0,0,0,17,14.5,+23,29.5
12,12,2015-11-18,20-253,MIN,@,ORL,L (-3),0,29:50,6,12,.500,2,5,.400,0,0,,0,3,3,3,0,0,3,4,14,6.4,+2,21.8
13,13,2015-11-20,20-255,MIN,,DET,L (-10),0,26:11,6,13,.462,2,5,.400,0,0,,1,2,3,2,0,1,2,2,14,7.9,-4,22.8
14,14,2015-11-23,20-258,MIN,,PHI,W (+5),0,24:52,4,12,.333,0,3,.000,4,4,1.000,0,5,5,0,0,0,3,2,12,2.9,-6,16.8
15,15,2015-11-25,20-260,MIN,,ATL,W (+4),0,26:53,7,13,.538,2,5,.400,2,2,1.000,1,4,5,6,0,0,2,4,18,14.2,+1,33.3
16,16,2015-11-27,20-262,MIN,@,SAC,W (+10),1,29:14,7,14,.500,1,6,.167,4,4,1.000,1,7,8,4,0,0,2,2,19,14.8,-2,34.5
17,17,2015-11-29,20-264,MIN,@,LAC,L (-8),1,32:30,6,15,.400,3,5,.600,3,3,1.000,0,3,3,7,0,0,1,5,18,12.7,0,33.3
18,18,2015-12-01,20-266,MIN,,ORL,L (-3),0,28:30,3,11,.273,0,5,.000,6,6,1.000,1,4,5,5,1,1,2,1,12,10.2,+3,28.8
19,19,2015-12-05,20-270,MIN,,POR,L (-6),0,22:45,4,14,.286,2,5,.400,2,2,1.000,1,0,1,2,1,0,1,4,12,4.3,0,18.8
20,20,2015-12-07,20-272,MIN,,LAC,L (-4),0,25:21,7,16,.438,1,2,.500,6,6,1.000,0,3,3,2,1,0,2,2,21,13.1,-4,29.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,21,2015-12-09,20-274,MIN,,LAL,W (+1),0,19:49,2,8,.250,0,2,.000,0,2,.000,0,2,2,2,0,0,2,1,4,-2.0,-19,8.5
22,22,2015-12-11,20-276,MIN,@,DEN,L (-3),0,24:54,4,11,.364,1,4,.250,3,4,.750,1,4,5,5,0,0,2,0,12,8.9,+3,25.3
23,23,2015-12-13,20-278,MIN,@,PHO,L (-7),0,25:33,10,19,.526,3,4,.750,5,5,1.000,0,2,2,2,1,0,2,4,28,18.1,-2,36.0
24,24,2015-12-15,20-280,MIN,,DEN,L (-12),0,24:35,8,18,.444,1,3,.333,3,4,.750,1,3,4,5,1,1,2,1,20,14.6,-7,36.0
25,25,2015-12-16,20-281,MIN,@,NYK,L (-5),0,29:07,9,20,.450,1,5,.200,0,0,,0,2,2,2,0,0,1,3,19,8.4,+3,24.5
26,26,2015-12-18,20-283,MIN,,SAC,W (+4),0,17:48,4,11,.364,0,4,.000,0,0,,1,1,2,0,0,0,4,2,8,-1.9,-5,8.5
27,27,2015-12-20,20-285,MIN,@,BRK,W (+15),0,22:24,4,10,.400,0,2,.000,2,2,1.000,1,3,4,4,0,0,1,1,10,7.6,-7,20.5
28,28,2015-12-21,20-286,MIN,@,BOS,L (-14),0,25:48,7,12,.583,0,2,.000,3,5,.600,0,3,3,2,1,0,1,1,17,12.5,-13,25.3
29,29,2015-12-23,20-288,MIN,,SAS,L (-25),0,24:19,7,13,.538,1,1,1.000,2,4,.500,1,1,2,4,2,0,3,2,17,11.9,-10,28.5
30,30,2015-12-26,20-291,MIN,,IND,L (-14),0,26:18,3,10,.300,1,3,.333,2,2,1.000,0,0,0,4,1,0,1,0,9,6.0,-20,17.0
31,31,2015-12-28,20-293,MIN,@,SAS,L (-6),0,24:41,5,14,.357,0,4,.000,5,5,1.000,0,0,0,2,0,0,1,1,15,7.2,-9,17.5
32,32,2015-12-30,20-295,MIN,,UTA,W (+14),0,11:37,1,6,.167,0,0,,0,0,,1,2,3,0,0,0,1,3,2,-2.7,+4,5.3
33,33,2015-12-31,20-296,MIN,@,DET,L (-25),0,24:48,1,8,.125,0,1,.000,2,4,.500,0,4,4,2,0,0,2,5,4,-3.4,-22,11.0
34,34,2016-01-02,20-298,MIN,,MIL,L (-10),0,21:09,3,9,.333,0,3,.000,0,0,,0,3,3,1,0,0,2,4,6,-1.1,-17,10.3
35,35,2016-01-04,20-300,MIN,@,PHI,L (-10),0,17:57,2,8,.250,0,0,,1,2,.500,0,1,1,2,2,0,2,2,5,0.7,0,12.3
36,36,2016-01-06,20-302,MIN,,DEN,L (-4),0,16:49,1,5,.200,0,1,.000,0,0,,0,0,0,4,1,0,1,2,2,0.9,-9,9.5
37,37,2016-01-08,20-304,MIN,,CLE,L (-26),0,22:15,1,6,.167,0,0,,0,0,,0,4,4,2,0,0,2,2,2,-2.0,-14,9.0
38,38,2016-01-10,20-306,MIN,,DAL,L (-6),0,8:22,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-5,2.3
39,39,2016-01-12,20-308,MIN,,OKC,L (-5),0,26:35,7,12,.583,3,4,.750,4,6,.667,0,9,9,4,0,0,3,3,21,15.9,+6,38.3
40,40,2016-01-13,20-309,MIN,@,HOU,L (-3),0,15:20,1,6,.167,0,1,.000,0,0,,0,2,2,4,0,0,2,2,2,-1.2,-17,9.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,41,2016-01-15,20-311,MIN,@,OKC,L (-20),0,24:20,5,9,.556,1,1,1.000,2,3,.667,1,5,6,0,0,0,2,2,13,7.7,-3,20.0
42,42,2016-01-17,20-313,MIN,,PHO,W (+30),0,23:37,3,6,.500,2,4,.500,3,4,.750,1,2,3,3,4,0,0,2,11,14.2,+20,28.3
43,43,2016-01-19,20-315,MIN,@,NOP,L (-15),0,18:01,2,5,.400,0,0,,0,0,,0,1,1,4,1,1,1,5,4,3.1,-14,14.8
44,44,2016-01-20,20-316,MIN,@,DAL,L (-12),0,17:21,2,4,.500,0,2,.000,0,0,,0,1,1,4,0,0,2,1,4,2.7,+6,10.3
45,45,2016-01-23,20-319,MIN,,MEM,W (+5),0,19:11,1,3,.333,1,1,1.000,2,2,1.000,0,2,2,4,3,1,3,4,5,5.8,-4,20.5
46,46,2016-01-25,20-321,MIN,@,CLE,L (-7),0,30:11,8,15,.533,2,7,.286,3,3,1.000,0,4,4,6,1,0,1,3,21,17.9,-8,37.5
47,47,2016-01-27,20-323,MIN,,OKC,L (-3),0,29:26,14,17,.824,5,8,.625,2,5,.400,0,2,2,1,1,0,0,5,35,27.8,-4,43.5
48,48,2016-01-29,20-325,MIN,@,UTA,L (-13),0,31:25,9,12,.750,0,0,,1,2,.500,0,1,1,3,0,0,3,4,19,11.6,-14,23.3
49,49,2016-01-31,20-327,MIN,@,POR,L (-3),0,25:28,6,14,.429,1,4,.250,1,1,1.000,0,2,2,2,1,0,1,6,14,6.2,-11,21.5
50,50,2016-02-02,20-329,MIN,@,LAL,L (-4),0,26:27,6,12,.500,2,5,.400,0,0,,0,1,1,7,0,0,4,4,14,7.6,0,24.8
