
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
53,51,2016-02-10,27-204,LAC,@,BOS,L (-5),1,41:54,6,11,.545,0,0,,9,17,.529,4,12,16,3,1,2,3,4,21,18.8,-8,51.5
54,52,2016-02-18,27-212,LAC,,SAS,W (+19),1,36:59,4,6,.667,0,0,,1,2,.500,2,15,17,1,3,2,3,3,9,12.8,+28,40.3
55,53,2016-02-20,27-214,LAC,,GSW,L (-3),1,36:33,7,13,.538,0,0,,2,4,.500,7,14,21,3,2,2,2,2,16,20.7,-12,55.3
56,54,2016-02-22,27-216,LAC,,PHO,W (+40),1,26:42,6,9,.667,0,0,,5,11,.455,2,9,11,1,0,4,2,4,17,14.7,+35,40.8
57,55,2016-02-24,27-218,LAC,,DEN,L (-6),1,36:51,2,5,.400,0,0,,3,7,.429,3,9,12,1,1,4,4,2,7,7.2,-6,31.5
58,56,2016-02-26,27-220,LAC,@,SAC,W (+10),1,33:48,3,5,.600,0,0,,2,5,.400,4,7,11,0,0,1,1,5,8,7.1,+7,23.3
59,57,2016-02-29,27-223,LAC,,BRK,W (+10),1,36:28,5,8,.625,0,0,,0,0,,1,9,10,1,0,1,2,3,10,8.0,0,26.5
60,58,2016-03-02,27-225,LAC,,OKC,W (+5),1,36:27,8,13,.615,0,0,,4,7,.571,6,12,18,2,1,1,0,0,20,23.8,+1,51.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,59,2016-03-05,27-228,LAC,,ATL,L (-10),1,33:16,5,7,.714,0,0,,7,17,.412,2,9,11,2,4,5,3,2,17,19.3,-9,51.8
62,60,2016-03-07,27-230,LAC,@,DAL,W (+19),1,38:08,6,7,.857,0,0,,11,19,.579,4,16,20,1,2,2,0,1,23,28.6,+34,59.0
63,61,2016-03-09,27-232,LAC,@,OKC,L (-12),1,32:47,7,7,1.000,0,0,,4,12,.333,0,7,7,2,0,1,1,1,18,15.5,-7,31.3
64,62,2016-03-11,27-234,LAC,,NYK,W (+7),1,37:45,4,7,.571,0,0,,2,2,1.000,4,15,19,0,1,6,2,4,10,15.6,+7,48.3
65,63,2016-03-13,27-236,LAC,,CLE,L (-24),1,32:19,4,4,1.000,0,0,,3,4,.750,2,9,11,1,0,1,1,3,11,12.7,-14,29.3
66,64,2016-03-15,27-238,LAC,@,SAS,L (-21),1,36:37,7,8,.875,0,0,,2,4,.500,3,11,14,0,0,1,4,2,16,13.7,-2,35.0
67,65,2016-03-16,27-239,LAC,@,HOU,W (+16),1,37:13,8,8,1.000,0,0,,7,13,.538,3,13,16,1,1,2,1,2,23,25.5,+12,51.5
68,66,2016-03-19,27-242,LAC,@,MEM,L (-11),1,32:55,6,6,1.000,0,0,,4,10,.400,1,6,7,1,1,2,1,5,16,14.4,-25,31.8
69,67,2016-03-20,27-243,LAC,@,NOP,L (-4),1,34:16,3,5,.600,0,0,,6,11,.545,3,6,9,2,0,1,1,2,12,11.9,+5,27.8
70,68,2016-03-23,27-246,LAC,@,GSW,L (-16),1,38:00,7,10,.700,0,0,,5,10,.500,2,18,20,3,0,2,0,5,19,21.1,+1,54.0
71,69,2016-03-24,27-247,LAC,,POR,W (+2),1,32:06,3,7,.429,0,1,.000,6,16,.375,5,8,13,3,3,1,5,5,12,9.0,0,39.8
72,70,2016-03-27,27-250,LAC,,DEN,W (+15),1,29:11,7,10,.700,0,0,,2,4,.500,7,9,16,2,2,6,5,2,16,20.4,+11,54.0
73,71,2016-03-28,27-251,LAC,,BOS,W (+24),1,28:49,5,8,.625,0,0,,5,7,.714,3,10,13,2,1,3,1,2,15,18.4,+10,43.3
74,72,2016-03-30,27-253,LAC,@,MIN,W (+20),1,29:32,5,7,.714,0,0,,1,3,.333,3,5,8,0,0,3,1,1,11,11.6,+28,26.5
75,,2016-03-31,27-254,LAC,@,OKC,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,73,2016-04-03,27-257,LAC,,WAS,W (+5),1,35:05,5,7,.714,0,0,,2,11,.182,3,9,12,1,2,3,1,3,12,12.9,+5,39.5
77,74,2016-04-05,27-259,LAC,,LAL,W (+22),1,28:59,3,6,.500,0,0,,1,4,.250,2,12,14,3,0,0,1,2,7,8.1,+28,28.5
78,75,2016-04-06,27-260,LAC,@,LAL,W (+10),1,27:11,7,9,.778,0,0,,1,2,.500,3,8,11,0,0,4,2,2,15,15.6,+12,37.3
79,,2016-04-08,27-262,LAC,@,UTA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,76,2016-04-10,27-264,LAC,,DAL,W (+7),1,32:01,4,5,.800,0,0,,6,23,.261,2,8,10,0,0,1,1,2,14,8.0,+15,29.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
81,77,2016-04-12,27-266,LAC,,MEM,W (+26),1,27:52,3,4,.750,0,0,,1,2,.500,1,11,12,1,1,2,1,2,7,10.3,+20,29.0
82,,2016-04-13,27-267,LAC,@,PHO,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
