
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB ▾,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
37,73,2016-04-05,21-204,DEN,,OKC,L (-22),1,26:47,6,10,.600,3,6,.500,2,3,.667,1,3,4,5,2,0,1,0,17,18.1,-15,34.5
38,76,2016-04-13,21-212,DEN,@,POR,L (-8),1,36:49,6,15,.400,2,5,.400,2,2,1.000,1,3,4,1,0,0,3,1,16,6.8,+4,22.0
39,1,2015-10-28,21-044,DEN,@,HOU,W (+20),1,29:29,2,5,.400,1,2,.500,0,0,,0,5,5,5,3,1,1,4,5,8.4,+23,26.8
40,4,2015-11-03,21-050,DEN,@,LAL,W (+11),1,21:43,5,9,.556,1,3,.333,0,1,.000,0,3,3,2,2,0,0,1,11,10.2,0,22.3
41,5,2015-11-05,21-052,DEN,,UTA,L (-12),1,27:41,3,5,.600,1,1,1.000,0,0,,0,2,2,2,0,1,3,0,7,4.4,+1,13.5
42,6,2015-11-06,21-053,DEN,@,GSW,L (-15),1,29:15,6,8,.750,2,2,1.000,2,2,1.000,0,3,3,2,1,0,1,1,16,14.7,-13,25.3
43,7,2015-11-09,21-056,DEN,,POR,W (+4),1,25:28,3,8,.375,1,3,.333,0,0,,0,3,3,3,0,0,1,2,7,3.8,0,15.3
44,8,2015-11-11,21-058,DEN,,MIL,W (+1),1,28:08,3,7,.429,2,4,.500,0,0,,0,1,1,5,2,0,2,0,8,8.1,+4,20.8
45,10,2015-11-14,21-061,DEN,@,PHO,L (-24),1,26:16,3,9,.333,0,5,.000,1,1,1.000,0,1,1,0,1,1,2,2,7,1.1,-17,11.3
46,16,2015-11-27,21-074,DEN,,SAS,L (-11),1,25:04,2,4,.500,1,3,.333,0,0,,0,1,1,3,1,0,2,1,5,4.0,-14,12.3
47,,2015-11-28,21-075,DEN,@,DAL,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,,2015-11-30,21-077,DEN,@,MIL,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,,2015-12-02,21-079,DEN,@,CHI,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,,2015-12-03,21-080,DEN,@,TOR,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
