
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
27,,2015-12-19,37-118,LAL,@,OKC,L (-40),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,24,2015-12-22,37-121,LAL,@,DEN,W (+4),1,32:11,10,22,.455,2,9,.222,9,11,.818,1,2,3,5,1,1,1,2,31,23.5,+11,46.8
29,25,2015-12-23,37-122,LAL,,OKC,L (-35),1,27:56,7,22,.318,2,7,.286,3,3,1.000,1,0,1,3,1,0,2,3,19,7.0,-36,26.8
30,26,2015-12-25,37-124,LAL,,LAC,L (-10),1,26:04,4,10,.400,3,5,.600,1,4,.250,0,3,3,3,2,0,3,0,12,7.4,-17,24.3
31,27,2015-12-27,37-126,LAL,@,MEM,L (-16),1,24:00,6,15,.400,2,8,.250,5,6,.833,0,2,2,3,0,0,3,2,19,9.4,-14,25.5
32,28,2015-12-28,37-127,LAL,@,CHO,L (-10),1,32:04,5,20,.250,3,12,.250,7,8,.875,1,3,4,2,0,0,3,2,20,6.8,-13,28.0
33,29,2015-12-30,37-129,LAL,@,BOS,W (+8),1,33:09,5,18,.278,2,5,.400,3,5,.600,1,10,11,3,0,0,4,3,15,4.2,+12,33.8
34,,2016-01-01,37-131,LAL,,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2016-01-03,37-133,LAL,,PHO,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2016-01-05,37-135,LAL,,GSW,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
