
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
16,16,2015-11-24,20-092,POR,,CHI,L (-5),1,12:22,3,7,.429,1,2,.500,0,0,,2,1,3,0,0,1,0,3,7,4.5,-4,13.3
17,17,2015-11-28,20-096,POR,,LAL,W (+12),1,19:32,2,2,1.000,0,0,,0,0,,1,4,5,1,1,0,1,1,4,5.6,+8,13.3
18,18,2015-11-30,20-098,POR,@,LAC,L (-15),1,12:55,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,4,2,-1.7,-16,3.3
19,19,2015-12-01,20-099,POR,,DAL,L (-3),1,5:45,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-15,1.3
20,20,2015-12-03,20-101,POR,,IND,W (+12),1,17:31,3,3,1.000,0,0,,0,0,,2,2,4,0,0,0,1,1,6,5.7,-6,10.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,21,2015-12-05,20-103,POR,@,MIN,W (+6),1,15:05,2,4,.500,0,0,,0,0,,0,3,3,1,1,0,2,0,4,2.6,+9,10.3
22,22,2015-12-07,20-105,POR,@,MIL,L (-2),1,14:10,3,5,.600,0,0,,0,0,,6,1,7,1,0,0,1,2,6,7.1,-6,15.8
23,23,2015-12-08,20-106,POR,@,CLE,L (-5),1,11:08,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,2,2,2.5,+9,7.0
24,24,2015-12-11,20-109,POR,@,PHO,W (+10),1,16:52,1,1,1.000,0,0,,0,0,,1,4,5,1,0,0,0,1,2,3.9,+9,9.8
25,25,2015-12-12,20-110,POR,,NYK,L (-2),1,17:25,2,2,1.000,1,1,1.000,2,2,1.000,4,1,5,2,2,0,1,2,7,11.1,+11,20.3
26,26,2015-12-14,20-112,POR,,NOP,W (+4),1,17:10,1,5,.200,0,0,,0,0,,2,3,5,1,1,1,0,3,2,2.4,+2,13.8
27,27,2015-12-16,20-114,POR,@,OKC,L (-16),1,26:06,0,2,.000,0,0,,2,2,1.000,4,3,7,0,0,0,0,3,2,3.1,-10,10.8
28,28,2015-12-18,20-116,POR,@,ORL,L (-8),1,12:25,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,2.3,-10,5.5
29,29,2015-12-20,20-118,POR,@,MIA,L (-7),1,11:00,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,1,3,2,-1.3,-12,5.3
30,30,2015-12-21,20-119,POR,@,ATL,L (-9),1,12:58,2,3,.667,0,0,,1,1,1.000,0,3,3,0,1,0,1,1,5,4.2,-4,10.3
31,31,2015-12-23,20-121,POR,@,NOP,L (-26),1,21:22,2,3,.667,0,0,,2,2,1.000,2,4,6,0,1,0,0,1,6,7.9,-16,15.5
32,32,2015-12-26,20-124,POR,,CLE,W (+29),1,21:26,1,3,.333,0,0,,0,0,,2,4,6,1,4,0,0,3,2,6.4,+24,19.0
33,33,2015-12-27,20-125,POR,@,SAC,W (+4),1,13:47,1,5,.200,0,0,,0,0,,2,1,3,0,2,0,0,0,2,2.6,-10,9.8
34,34,2015-12-30,20-128,POR,,DEN,W (+7),1,16:08,0,2,.000,0,1,.000,0,0,,1,3,4,2,3,0,1,1,0,3.2,+8,13.5
35,35,2015-12-31,20-129,POR,@,UTA,L (-13),1,18:44,1,1,1.000,0,0,,4,4,1.000,0,4,4,2,0,0,0,1,6,7.9,+3,14.0
36,36,2016-01-03,20-132,POR,@,DEN,W (+6),1,25:54,2,6,.333,0,2,.000,1,2,.500,2,6,8,2,0,1,0,6,5,4.1,+1,20.0
37,37,2016-01-04,20-133,POR,,MEM,L (-13),1,12:37,1,3,.333,0,0,,0,0,,3,3,6,0,0,1,1,2,2,2.2,0,11.0
38,38,2016-01-06,20-135,POR,,LAC,L (-11),1,15:40,3,5,.600,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,1,7,4.6,-1,8.3
39,39,2016-01-08,20-137,POR,,GSW,L (-20),1,17:27,0,3,.000,0,0,,0,0,,4,2,6,0,0,0,0,1,0,0.9,-15,7.5
40,40,2016-01-10,20-139,POR,,OKC,W (+5),1,13:54,0,3,.000,0,0,,0,0,,0,3,3,1,2,1,1,5,0,-0.8,-8,10.8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,41,2016-01-13,20-142,POR,,UTA,W (+14),1,18:54,2,7,.286,0,1,.000,0,0,,2,3,5,1,0,0,0,0,4,2.9,+1,11.8
42,42,2016-01-15,20-144,POR,@,BRK,W (+12),1,15:32,3,8,.375,0,1,.000,0,0,,3,1,4,0,0,0,0,1,6,3.6,-9,11.0
43,43,2016-01-16,20-145,POR,@,PHI,L (-25),1,21:22,3,5,.600,0,1,.000,3,4,.750,1,4,5,1,1,0,1,5,9,6.9,-7,18.3
44,44,2016-01-18,20-147,POR,@,WAS,W (+10),1,17:12,1,3,.333,0,0,,0,0,,0,9,9,1,0,0,1,2,2,1.9,+25,14.3
45,45,2016-01-20,20-149,POR,,ATL,L (-6),1,14:32,3,4,.750,1,2,.500,0,0,,1,3,4,0,0,1,0,2,7,6.9,+3,14.5
46,46,2016-01-23,20-152,POR,,LAL,W (+18),1,25:27,5,6,.833,0,1,.000,1,2,.500,2,4,6,1,3,0,1,5,11,11.7,+20,25.5
47,47,2016-01-26,20-155,POR,,SAC,W (+15),1,22:31,5,7,.714,0,0,,0,0,,2,5,7,0,0,2,0,2,10,10.6,0,22.8
48,48,2016-01-29,20-158,POR,,CHO,W (+18),1,19:02,3,6,.500,0,1,.000,0,0,,2,4,6,0,0,1,1,2,6,4.5,+2,15.0
49,49,2016-01-31,20-160,POR,,MIN,W (+3),1,15:43,1,4,.250,0,1,.000,0,0,,2,6,8,0,0,1,0,0,2,3.5,-11,14.0
50,50,2016-02-02,20-162,POR,,MIL,W (+12),1,16:26,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-1.0,-3,3.8
51,,2016-02-04,20-164,POR,,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2016-02-06,20-166,POR,@,HOU,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2016-02-08,20-168,POR,@,MEM,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2016-02-10,20-170,POR,,HOU,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,51,2016-02-19,20-179,POR,,GSW,W (+32),1,21:46,3,6,.500,1,2,.500,2,2,1.000,0,4,4,0,0,0,0,3,9,6.0,+25,14.5
56,52,2016-02-21,20-181,POR,,UTA,W (+4),1,15:55,2,7,.286,1,1,1.000,0,0,,7,1,8,0,0,0,3,1,5,2.7,+14,14.0
57,53,2016-02-23,20-183,POR,,BRK,W (+8),1,13:01,2,5,.400,0,1,.000,0,0,,0,3,3,0,0,0,0,1,4,1.8,-2,7.8
58,54,2016-02-25,20-185,POR,,HOU,L (-14),1,13:10,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,1,3,2,-0.9,+8,4.0
