
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
29,28,2015-12-26,29-234,MIA,@,ORL,W (+7),1,35:21,9,16,.563,3,6,.500,1,2,.500,3,3,6,4,1,0,3,3,22,16.6,-1,37.5
30,29,2015-12-28,29-236,MIA,,BRK,L (-6),1,34:16,4,10,.400,1,2,.500,0,0,,0,3,3,5,2,0,3,3,9,5.8,-3,23.3
31,30,2015-12-29,29-237,MIA,@,MEM,L (-9),1,41:21,7,10,.700,1,3,.333,1,2,.500,0,3,3,5,1,0,4,2,16,12.0,-11,27.8
32,31,2016-01-01,29-240,MIA,,DAL,W (+24),1,30:32,7,12,.583,1,2,.500,0,0,,0,4,4,7,3,0,1,2,15,16.7,+27,36.5
33,32,2016-01-03,29-242,MIA,@,WAS,W (+22),1,30:51,8,14,.571,2,4,.500,0,0,,0,2,2,5,1,0,2,1,18,14.1,+19,30.0
34,33,2016-01-04,29-243,MIA,,IND,W (+3),1,38:34,6,12,.500,1,2,.500,0,0,,2,3,5,4,0,0,5,5,13,5.1,-5,23.3
35,34,2016-01-06,29-245,MIA,,NYK,L (-8),1,33:40,4,9,.444,0,1,.000,2,2,1.000,1,1,2,1,0,0,2,1,10,4.6,-15,13.0
36,35,2016-01-08,29-247,MIA,@,PHO,W (+8),1,36:25,8,15,.533,3,5,.600,3,4,.750,1,1,2,7,2,0,2,4,22,18.6,+13,39.5
37,36,2016-01-09,29-248,MIA,@,UTA,L (-15),1,27:56,6,11,.545,2,3,.667,2,2,1.000,0,1,1,0,1,1,4,4,16,7.1,-6,20.3
38,37,2016-01-11,29-250,MIA,@,GSW,L (-8),1,35:49,5,10,.500,2,4,.500,1,2,.500,0,5,5,5,0,0,3,2,13,8.8,-12,26.3
39,,2016-01-13,29-252,MIA,@,LAC,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2016-01-15,29-254,MIA,@,DEN,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,,2016-01-17,29-256,MIA,@,OKC,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2016-01-19,29-258,MIA,,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2016-01-20,29-259,MIA,@,WAS,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,,2016-01-22,29-261,MIA,@,TOR,L (-20),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,,2016-01-25,29-264,MIA,@,CHI,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,,2016-01-26,29-265,MIA,@,BRK,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,38,2016-01-29,29-268,MIA,@,MIL,W (+4),1,31:37,5,8,.625,1,2,.500,1,2,.500,0,1,1,8,1,0,4,4,12,9.3,0,25.8
48,39,2016-01-31,29-270,MIA,,ATL,W (+18),1,22:59,4,10,.400,0,3,.000,1,2,.500,0,2,2,4,1,0,1,5,9,4.6,+17,19.0
49,40,2016-02-02,29-272,MIA,@,HOU,L (-13),1,33:03,6,12,.500,1,3,.333,1,3,.333,0,4,4,6,0,0,2,0,14,10.6,+7,27.5
50,41,2016-02-03,29-273,MIA,@,DAL,W (+3),1,33:20,3,10,.300,1,2,.500,0,0,,0,4,4,7,0,0,1,2,7,5.5,+2,22.5
51,42,2016-02-05,29-275,MIA,@,CHO,W (+3),1,32:00,5,10,.500,0,2,.000,2,2,1.000,1,7,8,9,2,0,0,3,12,16.9,+7,39.5
52,43,2016-02-07,29-277,MIA,,LAC,L (-7),1,34:44,7,13,.538,3,5,.600,0,0,,1,4,5,5,0,0,4,3,17,10.9,-9,30.3
53,44,2016-02-09,29-279,MIA,,SAS,L (-18),1,31:17,5,9,.556,0,0,,0,2,.000,0,1,1,6,1,0,4,2,10,5.6,-16,20.3
54,45,2016-02-19,29-289,MIA,@,ATL,W (+4),1,33:29,6,14,.429,1,4,.250,4,5,.800,0,5,5,10,4,0,4,2,17,16.9,+3,46.3
55,46,2016-02-20,29-290,MIA,,WAS,W (+20),1,29:56,9,20,.450,0,3,.000,6,7,.857,2,5,7,8,0,1,0,1,24,22.0,+13,46.8
56,47,2016-02-22,29-292,MIA,,IND,W (+8),1,40:48,10,17,.588,1,2,.500,3,6,.500,4,4,8,5,0,0,2,3,24,19.2,+20,41.0
57,48,2016-02-24,29-294,MIA,,GSW,L (-6),1,33:47,5,17,.294,1,5,.200,2,2,1.000,0,2,2,7,1,0,2,5,13,5.6,-3,27.5
58,49,2016-02-27,29-297,MIA,@,BOS,L (-12),1,33:54,9,15,.600,1,4,.250,2,2,1.000,1,4,5,5,1,0,4,4,21,14.9,-1,35.3
59,50,2016-02-28,29-298,MIA,@,NYK,W (+17),1,33:28,5,12,.417,0,3,.000,3,4,.750,0,3,3,6,1,1,3,0,13,10.0,+17,28.3
60,51,2016-03-01,29-300,MIA,,CHI,W (+18),1,34:34,8,14,.571,0,2,.000,1,2,.500,0,4,4,11,1,0,1,3,17,17.7,+25,41.5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,52,2016-03-03,29-302,MIA,,PHO,W (+16),1,34:20,10,18,.556,3,6,.500,2,4,.500,1,6,7,4,1,0,3,4,25,17.3,+19,41.8
62,53,2016-03-04,29-303,MIA,@,PHI,W (+10),1,34:09,6,16,.375,0,2,.000,3,4,.750,0,5,5,11,1,0,4,2,15,11.2,+17,39.3
63,54,2016-03-06,29-305,MIA,,PHI,W (+5),1,37:57,9,15,.600,3,4,.750,2,2,1.000,1,7,8,5,0,0,3,4,23,17.8,-3,40.5
64,55,2016-03-09,29-308,MIA,@,MIL,L (-6),1,36:14,4,9,.444,0,3,.000,2,2,1.000,0,3,3,6,0,0,1,4,10,7.8,-14,22.3
65,56,2016-03-11,29-310,MIA,@,CHI,W (+22),1,30:30,10,16,.625,1,2,.500,5,6,.833,0,3,3,9,1,1,1,0,26,26.3,+29,47.3
66,57,2016-03-12,29-311,MIA,@,TOR,L (-8),1,41:19,5,18,.278,1,3,.333,2,2,1.000,0,7,7,9,0,0,3,4,13,6.2,-9,34.3
67,58,2016-03-14,29-313,MIA,,DEN,W (+5),1,32:39,5,10,.500,1,4,.250,0,2,.000,0,2,2,8,0,0,1,3,11,9.2,-1,25.5
68,59,2016-03-17,29-316,MIA,,CHO,L (-3),1,36:05,8,16,.500,0,3,.000,0,0,,0,7,7,8,2,0,4,1,16,13.3,+4,38.8
69,60,2016-03-19,29-318,MIA,,CLE,W (+21),1,29:28,7,12,.583,0,0,,4,4,1.000,1,3,4,11,1,0,2,1,18,20.3,+15,42.0
70,61,2016-03-22,29-321,MIA,@,NOP,W (+14),1,36:26,8,18,.444,3,7,.429,2,2,1.000,2,6,8,5,1,0,3,4,21,14.7,+14,40.5
71,62,2016-03-23,29-322,MIA,@,SAS,L (-24),1,24:37,2,8,.250,0,1,.000,0,0,,0,1,1,4,2,0,6,2,4,-2.5,-19,12.3
72,63,2016-03-25,29-324,MIA,,ORL,W (+11),1,35:42,9,13,.692,1,3,.333,3,7,.429,0,0,0,8,4,0,5,4,22,17.9,+6,40.0
73,,2016-03-28,29-327,MIA,,BRK,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,64,2016-03-30,29-329,MIA,@,LAL,L (-2),1,37:56,5,14,.357,1,5,.200,0,0,,0,3,3,9,2,0,4,4,11,6.8,-1,30.8
75,65,2016-04-01,29-331,MIA,@,SAC,W (+6),1,30:18,5,12,.417,1,2,.500,7,8,.875,0,2,2,7,0,1,4,4,18,11.8,-2,31.5
76,66,2016-04-02,29-332,MIA,@,POR,L (-17),1,34:03,6,14,.429,0,2,.000,3,4,.750,2,0,2,1,1,0,3,3,15,6.1,-14,19.5
77,67,2016-04-05,29-335,MIA,,DET,W (+18),1,33:50,9,15,.600,4,4,1.000,0,0,,0,5,5,8,0,0,4,4,22,16.6,+5,40.3
78,68,2016-04-07,29-337,MIA,,CHI,W (+8),1,30:46,7,16,.438,0,3,.000,2,2,1.000,4,8,12,4,1,1,3,1,16,13.9,-8,41.0
79,69,2016-04-08,29-338,MIA,@,ORL,L (-3),1,30:22,6,16,.375,1,3,.333,2,2,1.000,5,3,8,6,1,0,4,2,15,11.0,-1,34.5
80,70,2016-04-10,29-340,MIA,,ORL,W (+22),1,35:40,8,12,.667,0,1,.000,3,3,1.000,0,2,2,6,1,1,1,1,19,18.9,+16,34.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
81,71,2016-04-12,29-342,MIA,@,DET,W (+6),1,26:14,8,15,.533,0,2,.000,0,0,,2,3,5,4,1,0,2,4,16,11.2,+7,29.3
82,72,2016-04-13,29-343,MIA,@,BOS,L (-10),1,32:56,9,16,.563,0,1,.000,0,0,,2,0,2,3,1,2,0,5,18,14.3,-8,31.0
