
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,,2015-10-28,29-324,HOU,,DEN,L (-20),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
24,18,2015-12-12,30-004,HOU,,LAL,W (+29),1,33:15,7,8,.875,0,0,,4,9,.444,5,7,12,2,1,2,2,0,18,20.6,+15,42.5
25,19,2015-12-14,30-006,HOU,@,DEN,L (-6),1,32:41,6,10,.600,0,1,.000,1,2,.500,1,7,8,0,4,1,4,4,13,9.9,+14,31.0
26,20,2015-12-15,30-007,HOU,@,SAC,L (-10),1,27:48,2,7,.286,0,0,,0,1,.000,1,3,4,2,1,1,2,5,4,0.2,-10,15.0
27,21,2015-12-17,30-009,HOU,@,LAL,W (+20),1,25:42,3,10,.300,0,0,,10,18,.556,9,6,15,1,0,2,1,5,16,14.2,+19,41.3
28,22,2015-12-19,30-011,HOU,,LAC,W (+10),1,26:23,8,11,.727,0,0,,6,16,.375,6,8,14,0,0,2,2,5,22,17.5,+7,44.0
29,23,2015-12-21,30-013,HOU,,CHO,W (+7),1,26:37,4,5,.800,0,0,,1,3,.333,1,8,9,0,0,1,5,6,9,2.7,-5,19.8
30,24,2015-12-23,30-015,HOU,@,ORL,L (-3),1,35:45,6,10,.600,0,0,,0,2,.000,3,4,7,2,1,3,3,3,12,10.2,-7,30.3
31,25,2015-12-25,30-017,HOU,,SAS,W (+4),1,35:55,4,6,.667,0,0,,3,8,.375,2,10,12,0,2,0,0,2,11,12.0,+5,31.5
32,26,2015-12-26,30-018,HOU,@,NOP,L (-2),1,31:12,3,4,.750,0,0,,1,1,1.000,2,7,9,0,0,1,1,4,7,7.0,-1,19.8
33,27,2015-12-29,30-021,HOU,,ATL,L (-6),1,38:22,10,12,.833,0,0,,10,18,.556,2,14,16,3,1,1,3,3,30,27.6,-21,58.5
34,28,2015-12-31,30-023,HOU,,GSW,L (-4),1,35:04,8,9,.889,0,0,,5,6,.833,2,11,13,5,2,3,3,4,21,25.2,+7,54.8
35,29,2016-01-02,30-025,HOU,@,SAS,L (-18),1,37:17,6,9,.667,0,0,,10,17,.588,2,10,12,2,0,0,2,1,22,18.7,-6,40.5
36,30,2016-01-04,30-027,HOU,@,UTA,W (+2),1,40:36,7,12,.583,0,0,,2,4,.500,2,11,13,1,1,1,3,2,16,12.9,-9,37.8
37,,2016-01-07,30-030,HOU,,UTA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,31,2016-01-10,30-033,HOU,,IND,W (+4),1,42:44,9,15,.600,0,1,.000,3,8,.375,4,13,17,3,2,0,3,3,21,18.7,+16,50.8
39,32,2016-01-12,30-035,HOU,@,MEM,W (+16),1,37:44,6,10,.600,0,0,,5,5,1.000,6,8,14,1,1,2,1,4,17,19.5,+14,43.0
40,33,2016-01-13,30-036,HOU,,MIN,W (+3),1,35:30,5,7,.714,0,0,,5,10,.500,4,6,10,0,1,2,2,5,15,13.1,-3,34.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,34,2016-01-15,30-038,HOU,,CLE,L (-14),1,34:16,4,9,.444,0,0,,6,10,.600,2,9,11,1,2,2,2,1,14,13.5,-17,37.8
42,35,2016-01-17,30-040,HOU,@,LAL,W (+17),1,26:27,6,11,.545,0,0,,2,3,.667,3,12,15,0,1,3,2,1,14,14.7,+25,41.3
43,36,2016-01-18,30-041,HOU,@,LAC,L (-8),1,45:29,11,16,.688,0,0,,14,18,.778,10,16,26,4,1,1,4,2,36,39.1,-4,78.0
44,37,2016-01-20,30-043,HOU,,DET,L (-9),1,0:55,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,0,2.5
